2020-01-10;22:05:06,0.0,241.0,Abierto
2020-01-10;22:05:08,0.0,278.0,Abierto
2020-01-10;22:05:09,0.0,278.0,Abierto
2020-01-10;22:05:11,0.0,265.0,Abierto
2020-01-10;22:05:12,0.0,246.0,Abierto
2020-01-10;22:05:14,0.0,247.0,Abierto
2020-01-10;22:05:15,0.0,277.0,Abierto
2020-01-10;22:05:17,0.0,247.0,Abierto
2020-01-10;22:05:18,0.0,254.0,Abierto
2020-01-10;22:05:20,0.0,247.0,Abierto
2020-01-10;22:05:21,0.0,65.0,Abierto
2020-01-10;22:05:23,0.0,264.0,Abierto
2020-01-10;22:05:24,0.0,264.0,Abierto
2020-01-10;22:05:26,0.0,265.0,Abierto
2020-01-10;22:05:27,0.0,260.0,Abierto
2020-01-10;22:05:29,0.0,262.0,Abierto
2020-01-10;22:05:30,0.0,264.0,Abierto
2020-01-10;22:05:32,0.0,262.0,Abierto
2020-01-10;22:05:33,0.0,69.0,Abierto
2020-01-10;22:05:35,0.0,182.0,Abierto
2020-01-10;22:05:36,0.0,261.0,Abierto
2020-01-10;22:05:38,0.0,264.0,Abierto
2020-01-10;22:05:39,0.0,258.0,Abierto
2020-01-10;22:05:41,0.0,74.0,Abierto
2020-01-10;22:05:42,0.0,89.0,Abierto
2020-01-10;22:05:44,0.0,253.0,Abierto
2020-01-10;22:05:45,0.0,254.0,Abierto
2020-01-10;22:05:47,0.0,94.0,Abierto
2020-01-10;22:05:48,0.0,78.0,Abierto
2020-01-10;22:05:50,0.0,60.0,Abierto
2020-01-10;22:05:51,0.0,52.0,Abierto
2020-01-10;22:05:53,0.0,57.0,Abierto
2020-01-10;22:05:54,0.0,61.0,Abierto
2020-01-10;22:05:56,0.0,61.0,Abierto
2020-01-10;22:05:57,0.0,81.0,Abierto
2020-01-10;22:05:59,0.0,60.0,Abierto
2020-01-10;22:06:00,0.0,53.0,Abierto
2020-01-10;22:06:02,0.0,55.0,Abierto
2020-01-10;22:06:03,0.0,57.0,Abierto
2020-01-10;22:06:05,0.0,61.0,Abierto
2020-01-10;22:06:06,0.0,184.0,Abierto
2020-01-10;22:06:08,0.0,87.0,Abierto
2020-01-10;22:06:09,0.0,231.0,Abierto
2020-01-10;22:06:11,0.0,233.0,Abierto
2020-01-10;22:06:12,0.0,86.0,Abierto
2020-01-10;22:06:14,0.0,86.0,Abierto
2020-01-10;22:06:15,0.0,63.0,Abierto
2020-01-10;22:06:17,0.0,55.0,Abierto
2020-01-10;22:06:18,0.0,52.0,Abierto
2020-01-10;22:06:20,0.0,85.0,Abierto
2020-01-10;22:06:21,0.0,160.0,Abierto
2020-01-10;22:06:23,0.0,217.0,Abierto
2020-01-10;22:06:24,0.0,94.0,Abierto
2020-01-10;22:06:26,0.0,93.0,Abierto
2020-01-10;22:06:27,0.0,97.0,Abierto
2020-01-10;22:06:29,0.0,94.0,Abierto
2020-01-10;22:06:30,0.0,230.0,Abierto
2020-01-10;22:06:32,0.0,283.0,Abierto
2020-01-10;22:06:33,0.0,190.0,Abierto
2020-01-10;22:06:35,0.0,69.0,Abierto
2020-01-10;22:06:36,0.0,68.0,Abierto
2020-01-10;22:06:38,0.0,68.0,Abierto
2020-01-10;22:06:39,56.64335664335665,194.0,Cerrado
2020-01-10;22:06:41,48.6013986013986,273.0,Abierto
2020-01-10;22:06:42,45.27972027972028,272.0,Abierto
2020-01-10;22:06:44,40.55944055944056,87.0,Abierto
2020-01-10;22:06:45,38.28671328671329,210.0,Abierto
2020-01-10;22:06:47,36.36363636363637,276.0,Abierto
2020-01-10;22:06:48,34.61538461538461,70.0,Abierto
2020-01-10;22:06:50,32.86713286713287,254.0,Abierto
2020-01-10;22:06:51,31.11888111888112,281.0,Abierto
2020-01-10;22:06:53,29.72027972027972,281.0,Abierto
